fieldOfStudy,fieldOfStudy,task,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
Annotating,!,Annotation,,,,
Tagging,!,Tagging,,,,
POS-Tagging,!,POS tagging,,,,
https://vocabs.dariah.eu/tadirah/annotating,!,Annotation,,,,
Text Processing > Linguistic,Linguistics,,,,,
nwo:Linguistics,Linguistics,,,,,
nwo:TextualAndContentAnalysis,Textual and content analysis,,,,,
nwo:SoftwareForHumanities,Humanities,,,,,
nwo:ComputationalLinguisticsandPhilology,Computational linguistics;Philology,,,,,
nwo:TextualAndLinguisticCorpora,Textual and linguistic corpora,,,,,
https://vocabs.dariah.eu/tadirah/posTagging,!,POS tagging,,,,
https://vocabs.dariah.eu/tadirah/structuralAnalysis,!,Structural analysis,,,,
nwo:ArtificialIntelligenceExpertSystems,"Artificial intelligence, expert systems",,,,,
nwo:CommunicationScience,Communication science,,,,,
nwo:Demography,Demography,,,,,
nwo:Economics,Economics,,,,,
nwo:Sociology,Sociology,,,,,
Internet > WWW/HTTP > WSGI > Application,!,,,,,
Machine Learning,Machine learning,,,,,
Multimedia processing,!,Multimedia processing,,,,
Named Entity Recognition,!,Named entity recognition,,,,
Segmenting,!,,,,,
Software Development,Software development,,,,,
Tree-Tagging,!,Tree tagging,,,,
https://vocabs.dariah.eu/tadirah/analyzing,,,,,,
https://vocabs.dariah.eu/tadirah/contextualizing,,,,,,
https://vocabs.dariah.eu/tadirah/discovering,,,,,,
https://vocabs.dariah.eu/tadirah/disseminating,,,,,,
https://vocabs.dariah.eu/tadirah/enriching,,Enriching,,,,
https://vocabs.dariah.eu/tadirah/machineLearning,Machine learning,Machine learning,,,,
https://vocabs.dariah.eu/tadirah/namedEntityRecognition,,Named entity recognition,,,,
https://vocabs.dariah.eu/tadirah/segmenting,,,,,,
https://vocabs.dariah.eu/tadirah/treeTagging,,Tree tagging,,,,
nwo:EducationalSciences,Educational sciences,,,,,
nwo:GeographyPlanning,"Geography, planning",,,,,
nwo:Law,Law,,,,,
nwo:LifeSciences,Life sciences,,,,,
nwo:Medicine,Medicine,,,,,
nwo:Pedagogics,Pedagogics,,,,,
nwo:Psychology,Psychology,,,,,
nwo:PublicAdministrationAndPoliticalScience,Public administration and political science,,,,,
Browsing,!,,,,,
Converting,!,,,,,
Exploration,!,,,,,
Identifying,!,,,,,
Information Retrieval,Information retrieval,,,,,
Lemmatizing,!,Lemmatisation,,,,
Scientific/Engineering,Engineering,,,,,
"['science', 'text-processing']",!,,,,,
https://vocabs.dariah.eu/tadirah/browsing,,,,,,
https://vocabs.dariah.eu/tadirah/converting,,Conversion,,,,
https://vocabs.dariah.eu/tadirah/exploration,,,,,,
https://vocabs.dariah.eu/tadirah/identifying,,,,,,
https://vocabs.dariah.eu/tadirah/informationRetrieval,Information retrieval,,,,,
https://vocabs.dariah.eu/tadirah/lemmatizing,,Lemmatisation,,,,
Archiving,!,,,,,
Capturing,!,,,,,
Commenting,!,,,,,
Comparing,!,,,,,
Gathering,!,,,,,
Highlighting,!,,,,,
Interpreting,!,,,,,
Merging,!,,,,,
Multimedia > Video,Video,,,,,
Scientific/Engineering > Artificial Intelligence,Artificial intelligence,,,,,
Scientific/Engineering > Information Analysis,Information analysis,,,,,
Sharing,,,,,,
Sociology > History,Sociology;History,,,,,
Software Development > Libraries > Python Modules,!,,,,,
Software portal,!,,,,,
Speech Recognizing,!,Speech recognition,,,,
Storing,!,,,,,
Text Processing,!,Text processing,,,,
Text Processing > Fonts,!,,,,,
Text Processing > Markup,!,,,,,
https://vocabs.dariah.eu/tadirah/archiving,,Archiving,,,,
https://vocabs.dariah.eu/tadirah/capturing,,Capturing,,,,
https://vocabs.dariah.eu/tadirah/commenting,,,,,,
https://vocabs.dariah.eu/tadirah/comparing,,,,,,
https://vocabs.dariah.eu/tadirah/gathering,,,,,,
https://vocabs.dariah.eu/tadirah/highlighting,,,,,,
https://vocabs.dariah.eu/tadirah/interpreting,,,,,,
https://vocabs.dariah.eu/tadirah/merging,,,,,,
https://vocabs.dariah.eu/tadirah/rhetoricalAnalysis,,,,,,
https://vocabs.dariah.eu/tadirah/sharing,,,,,,
https://vocabs.dariah.eu/tadirah/speechRecognizing,,Speech recognition,,,,
https://vocabs.dariah.eu/tadirah/storing,,,,,,
nwo:BibleStudies,Bible studies,,,,,
nwo:ComputerScience,Computer science,,,,,
nwo:ComputersAndTheHumanities,Computers and the humanities,,,,,
nwo:DatabasesForHumanities,Databases for humanities,,,,,
nwo:GreekAndLatinPhilologyAndLiterature,Greek and Latin philology and literature,,,,,
nwo:ReligiousStudiesAndTheology,Religious studies and theology,,,,,
~.*vocabs.dariah.eu/tadirah.*,!,,,,,
