_componentProfile,resourceClass,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
ToolProfile,Unspecified,,,3,2,"HZSK Tools |1| # IMS, CLARIN-D Centre, University of Stuttgart |2|"
ToolService,Unspecified,,,1,1,Meertens Collections: ToolService |1|
WebLichtWebService,Web service,,,223,4,CLARIN Centres |8| # HZSK Webservices |4| # LINDAT / CLARIN Web Services |2|
Website,Web application,,,1,1,Meertens collection: PILNAR |1|
